name,thumb,price,images,main_image,cpu_tech,cpu_cores,cpu_threads,cpu_speed,npu,ai_tops,gpu,gpu_cores,gpu_tgp,ram,ram_type,ram_bus,ram_max,storage,screen_size,screen_resolution,panel_type,refresh_rate,screen_tech,color_gamut,touch_screen,ports,wireless,webcam,keyboard_backlight,security,audio_tech,cooling,other_features,card_reader,battery,os,release_date,dimensions,material,brand,phanloai
MacBook Air 13 inch M4 32GB/256GB,https://cdn.tgdd.vn/Products/Images/44/335369/macbook-air-13-inch-m4-xanh-da-troi-600x600.jpg,35490000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-1-638768995923666353-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-2-638768995929708744-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-3-638768995935507083-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-4-638768995940960773-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-5-638768995946399856-750x500.jpg,,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,,,Card tích hợp - 10 nhân GPU,,,32 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,"13.6""",Liquid Retina (2560 x 1664),IPS,Hãng không công bố,Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu,,,"Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)",Wi-Fi 6E (802.11ax) | Bluetooth 5.3,1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,3 microphones | 4 Loa | Dolby Atmos,Hãng không công bố,,,"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,MacBook,laptop
"Dell Inspiron 15 3530 - N5I5530W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-thumb-638762534676491196-600x600.jpg,19590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-1-638762533274067953-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-2-638762533281473713-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-3-638762533287574356-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-4-638762533293274045-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-5-638762533302939314-750x500.jpg,,Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) | Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)","15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | LED Backlit | WVA,45% NTSC,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 1 x USB 3.2 | HDMI | USB Type-C,Wi-Fi 6 (802.11ax) | Bluetooth 5.3,HD webcam,Không có đèn,,Realtek Audio,,,SD,"3-cell, 41Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3520 - 25P231 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeHS, KYHD, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-thumb-638754902669914908-600x600.jpg,16690000.0,https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-1-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-2-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-3-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-4-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-5-2-750x500.jpg,,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe | Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),"15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | 250 nits | WVA,,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 2 x USB 3.2 | HDMI,Bluetooth 5.2 | Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Không có đèn,,Realtek Audio,,,SD,"3-cell, 41Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2022,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3520 - 71064798 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, KYHD, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-thumb-638828184201929000-600x600.jpg,16690000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-1-638900911974170936-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-2-638900911968938563-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-3-638900911961734468-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-4-638900911955738984-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-5-638900911948464249-750x500.jpg,,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2600 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | LED Backlit | 250 nits | WVA,45% NTSC,,1 x USB 2.0 | 2 x USB 3.2 | HDMI | 1 x Headphone/microphone combo,Bluetooth 5.2 | Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Có,,Realtek Audio,,,SD,"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3530 - N5I7216W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-thumb-638840241952547194-600x600.jpg,20990000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-1-638840241503567040-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-2-638840241497065349-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-3-638840241491993434-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-4-638840241485459819-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-5-638840241557390782-750x500.jpg,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/Kit/dell-inspiron-15-3530-i7-n5i7216w1-note-638840241876580902.jpg,Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,"15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | LED Backlit | 250 nits | WVA,45% NTSC,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 1 x USB 3.2 | HDMI | USB Type-C,Wi-Fi 6 (802.11ax) | Bluetooth 5.3,HD webcam,Đơn sắc - Màu trắng,,Realtek Audio,Hãng không công bố,,SD,"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,Dell,laptop
"Dell Latitude 3450 - L3450-1335U-16512WN (i5 1335U, 16GB, 512GB, Full HD, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-638895751182170399-600x600.jpg,18590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-1-638863820558749054-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-2-638863820552684941-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-3-638863820545732706-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-4-638863820538677819-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-5-638863820529134868-750x500.jpg,,Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",Full HD (1920 x 1080),IPS,60Hz,Chống chói Anti Glare | 250 nits,45% NTSC,,Jack tai nghe 3.5 mm | 2 x USB 3.2 | HDMI | 1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery) | 1 x USB 3.2 (hỗ trợ PowerShare) | LAN (RJ45),Wi-Fi 6E (802.11ax) | Bluetooth 5.3,Full HD Webcam,Không có đèn,Công tắc khoá camera,Realtek Audio,Hãng không công bố,Bản lề mở 180 độ,,"3-cell, 42Wh",Windows 11 Home SL,2024,Dài 322.17 mm - Rộng 219.43 mm - Dày 19.34 mm - 1.5 kg,Vỏ nhựa,Dell,laptop
"Dell Gaming Alienware 16 Aurora AC16250 - 71072939 (Core 5 210H, 16GB, 512GB, RTX 3050 6GB, WQXGA 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-thumb-638893894678228760-600x600.jpg,29490000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-1-638893857713263449-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-2-638893857722600962-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-3-638893857729926701-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-4-638893857739248754-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-5-638893857745630171-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-6-638893857753652842-750x500.jpg,,Intel Core 5 Raptor Lake - 210H,8,12,1.60 GHz (Lên đến 4.80 GHz khi tải nặng),,,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",,,16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,512 GB SSD NVMe PCIe,"16""",WQXGA (2560 x 1600),,120Hz,300 nits | ComfortView Plus,100% sRGB,,2 x USB 3.2 Gen 1 | 2 x USB Type-C (hỗ trợ USB 3.2 và DisplayPort 1.4) | HDMI | LAN (RJ45),Wi-Fi 7 (802.11be) | Bluetooth 5.4,HD webcam,Đơn sắc - Màu trắng,,Realtek Audio,Hãng không công bố,,,"3-cell Li-ion, 60 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 356.98 mm - Rộng 265.43 mm - Dày 22.7 mm - 2.49 kg,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,Dell,laptop
"Dell Inspiron 15 3520 - N5I5057W1 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeHS, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-638774726911323154-600x600.jpg,16690000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-1-638724479204032378-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-2-638724479214886489-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-3-638724479223127456-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-4-638724479231443440-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-5-638724479241812513-750x500.jpg,,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) | Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)","15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | LED Backlit | 250 nits | WVA,45% NTSC,,1 x USB 2.0 | 2 x USB 3.2 | HDMI | 1 x Headphone/microphone combo,Bluetooth 5.0 | Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Không có đèn,,Realtek Audio,,,SD,"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3520 - 71053682 (i7 1255U, 16GB, 512GB, Full HD 120Hz, OfficeHS, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333104/dell-inspiron-15-3520-i7-71053682-thumb-638760098370549871-600x600.jpg,18990000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333104/dell-inspiron-15-3520-i7-71053682-1-638712390373486937-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333104/dell-inspiron-15-3520-i7-71053682-2-638712390382158729-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333104/dell-inspiron-15-3520-i7-71053682-3-638712390389183235-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333104/dell-inspiron-15-3520-i7-71053682-4-638712390395324217-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333104/dell-inspiron-15-3520-i7-71053682-5-638712390401388013-750x500.jpg,,Intel Core i7 Alder Lake - 1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,"15.6""",Full HD (1920 x 1080),,120Hz,WVA,,,1 x USB 2.0 | 2 x USB 3.2 | HDMI | 1 x Headphone/microphone combo,Bluetooth 5.0 | Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Không có đèn,,Realtek Audio,,,SD,"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3530 - P16WD (i7 1355U, 16GB, 1TB, Full HD 120Hz, OfficeHS, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-thumb-638754948496889615-600x600.jpg,21990000.0,https://cdn.tgdd.vn/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-1-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-3-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-4-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-5-750x500.jpg,,Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),2666 MHz,16 GB,1 TB SSD M.2 PCIe,"15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | LED Backlit | WVA,,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 1 x USB 3.2 | HDMI | USB Type-C,Bluetooth 5.0 | Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,Realtek High Definition Audio,Hãng không công bố,,SD,"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3520 - N3520-i5U165W11SLU-BL (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337476/dell-inspiron-15-3520-i5-n3520i5u165w11slubl-290425-115203-353-600x600.jpg,17490000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337476/dell-inspiron-15-3520-i5-n3520i5u165w11slubl-1-638815672062051168-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337476/dell-inspiron-15-3520-i5-n3520i5u165w11slubl-2-638815672054050100-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337476/dell-inspiron-15-3520-i5-n3520i5u165w11slubl-3-638815672048285713-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337476/dell-inspiron-15-3520-i5-n3520i5u165w11slubl-4-638815672042845596-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337476/dell-inspiron-15-3520-i5-n3520i5u165w11slubl-5-638815672036958331-750x500.jpg,,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))","15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | 250 nits | WVA,45% NTSC,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 2 x USB 3.2 | HDMI,Bluetooth 5.0 | Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Đơn sắc - Màu trắng,,Realtek Audio,Hãng không công bố,,SD,"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3520 - N3520-i5U085W11SLU (i5 1235U, 8GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337474/dell-inspiron-15-3520-i5-n3520i5u085w11slu-290425-115021-064-600x600.jpg,13490000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337474/dell-inspiron-15-3520-i5-n3520i5u085w11slu-1-638815671664575464-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337474/dell-inspiron-15-3520-i5-n3520i5u085w11slu-2-638815671658800597-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337474/dell-inspiron-15-3520-i5-n3520i5u085w11slu-3-638815671653336746-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337474/dell-inspiron-15-3520-i5-n3520i5u085w11slu-4-638815671647097423-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337474/dell-inspiron-15-3520-i5-n3520i5u085w11slu-5-638815671641270333-750x500.jpg,,Intel Core i5 Alder Lake - 1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,,Card tích hợp - Intel UHD Graphics,,,8 GB,DDR4 (1 khe 8 GB + 1 khe rời),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) | Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | 250 nits | WVA,45% NTSC,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 2 x USB 3.2 | HDMI,Bluetooth 5.0 | Wi-Fi 802.11 a/b/g/n/ac,HD webcam,Không có đèn,,Realtek High Definition Audio,,,SD,"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3530 - P16WD22 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-638895760085626264-600x600.jpg,18590000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-1-638874795005949105-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-2-638874795012333019-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-3-638874794999708433-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-4-638874794993026339-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-5-638874795024856660-750x500.jpg,,Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,"15.6""",Full HD (1920 x 1080),,120Hz,Chống chói Anti Glare | LED Backlit | 250 nits | WVA,40% NTSC,,1 x USB 2.0 | 1 x USB 3.2 | HDMI | 1 x Headphone/microphone combo | USB Type-C,Bluetooth 5.0 | Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,Realtek High Definition Audio,Hãng không công bố,,SD,"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,Dell,laptop
"Dell Inspiron 15 3530 - 71070372 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-638900114510203065-600x600.jpg,19390000.0,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-1-638881907568643473-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-2-638881907578147995-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-3-638881907585351995-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-4-638881907591348491-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-5-638881907597172816-750x500.jpg,,Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,,Card tích hợp - Intel Iris Xe Graphics,,,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,"15.6""",Full HD (1920 x 1080),,120Hz,WVA,,,1 x USB 2.0 | Jack tai nghe 3.5 mm | 1 x USB 3.2 | HDMI | USB Type-C,Wi-Fi 6 (802.11ax) | Bluetooth 5.3,HD webcam,Không có đèn,,Realtek Audio,Hãng không công bố,,SD,"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,Dell,laptop
