Name,thumb
realme 14 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336623/realme-14-5g-sliver-thumb-600x600.jpg
realme C71 4GB/128GB,https://cdn.tgdd.vn/Products/Images/42/337741/realme-c71-trang-thumb-600x600.jpg
realme C75x 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335307/realme-c75x-pink-thumbn-600x600.jpg
realme C75 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/332234/realme-c75-8gb-128gb-thumb-1-600x600.jpg
realme C65s 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/328626/realme-c65s-green-thumb-600x600.jpg
realme Note 60x 4GB/64GB,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/333281/realme-note-60x-4gb-191224-040048-245-600x600.jpg
realme Note 60 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/329330/realme-note-60-black-thumb-600x600.jpg
vivo V50 Lite 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336408/vivo-v50-lite-gold-5g-thumbai-600x600.jpg
vivo V60 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/341625/vivo-v60-5g-xam-thumb-600x600.jpg
vivo Y19s Pro 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/338918/vivo-y19s-pro-bac-thumb-1-600x600.jpg
vivo Y29 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/334226/vivo-y29-trang-thumb-600x600.jpg
vivo Y19s 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/331200/vivo-y19s-thumbnew-600x600.jpg
vivo Y04 4GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335228/vivo-y04-green-thumb-600x600.jpg
vivo V40 Lite 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/329959/vivo-v40-lite-tim-thumb-600x600.jpg
vivo V30 5G 12GB/512GB,https://cdn.tgdd.vn/Products/Images/42/319214/vivo-v30-black-thumb-600x600.jpg
vivo V30e 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/325136/vivo-v30e-nau-thumb-1-600x600.jpg
vivo Y39 5G 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/339180/vivo-y39-tim-thumb-600x600.jpg
vivo V50 Lite 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336702/vivo-v50-lite-tim-thumbai-600x600.jpg
vivo Y03 4GB/128GB,https://cdn.tgdd.vn/Products/Images/42/322996/vivo-y03-xanh-thumb-1-600x600.jpg
vivo Y28 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/326023/vivo-y28-xanh-thumbn-600x600.jpg
vivo V40 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/331985/vivo-v40-5g-thumb-600x600.jpg
vivo Y18 4GB/128GB,https://cdn.tgdd.vn/Products/Images/42/327254/vivo-y18-nau-thumb-600x600.jpg
