Tên,Giá,Cấu hình,Ảnh,Ảnh tổng thế
Laptop MacBook Pro 14 inch Nano M4 Max 36GB/1TB,79.790.000₫,"Cấu hình: [('Công nghệ CPU', 'Apple M4 Max - Hãng không công bố'), ('Số nhân', '14'), ('Số luồng', 'Hãng không công bố'), ('Tốc độ CPU', '410 GB/s memory bandwidth')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - 32 nhân GPU')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '36 GB'), ('Loại RAM', 'Hãng không công bố'), ('Tốc độ Bus RAM', 'Hãng không công bố'), ('Hỗ trợ RAM tối đa', 'Hãng không công bố'), ('Ổ cứng', '1 TB SSD')]; Màn hình: [('Kích thước màn hình', '14.2""'), ('Độ phân giải', 'Liquid Retina XDR display (3024 x 1964)'), ('Tần số quét', 'up to 120 Hz'), ('Công nghệ màn hình', 'ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | Màn hình Nano-texture | True Tone Technology | 1 tỷ màu')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', 'Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))'), ('Kết nối không dây', 'Wi-Fi 6E (802.11ax) | Bluetooth 5.3'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', '1080p FaceTime HD camera'), ('Đèn bàn phím', 'Đơn sắc - Màu trắng'), ('Bảo mật', 'Bảo mật vân tay'), ('Công nghệ âm thanh', 'Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos'), ('Tản nhiệt', 'Hãng không công bố')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', 'Li-Po, 72.4 Wh'), ('Hệ điều hành', 'macOS Sequoia'), ('Thời điểm ra mắt', '10/2024'), ('Kích thước', 'Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.62 kg'), ('Chất liệu', 'Vỏ nhôm tái chế 100%')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-1-638682303341227597-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-2-638682303348500067-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-3-638682303355415860-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-4-638682303361944006-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-pro-24-512-tgdd-den-5-638682303369040599-750x500.jpg,
Laptop MacBook Air 13 inch M4 32GB/256GB,35.490.000₫,"Cấu hình: [('Công nghệ CPU', 'Apple M4 - Hãng không công bố'), ('Số nhân', '10'), ('Số luồng', 'Hãng không công bố'), ('Tốc độ CPU', '120 GB/s memory bandwidth')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - 10 nhân GPU')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '32 GB'), ('Loại RAM', 'Hãng không công bố'), ('Tốc độ Bus RAM', 'Hãng không công bố'), ('Hỗ trợ RAM tối đa', 'Không hỗ trợ nâng cấp'), ('Ổ cứng', '256 GB SSD')]; Màn hình: [('Kích thước màn hình', '13.6""'), ('Độ phân giải', 'Liquid Retina (2560 x 1664)'), ('Tấm nền', 'IPS'), ('Tần số quét', 'Hãng không công bố'), ('Công nghệ màn hình', 'Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', 'Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)'), ('Kết nối không dây', 'Wi-Fi 6E (802.11ax) | Bluetooth 5.3'), ('Webcam', '1080p FaceTime HD camera'), ('Đèn bàn phím', 'Đơn sắc - Màu trắng'), ('Bảo mật', 'Bảo mật vân tay'), ('Công nghệ âm thanh', '3 microphones | 4 Loa | Dolby Atmos'), ('Tản nhiệt', 'Hãng không công bố')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', 'Li-Po, 53.8 Wh'), ('Hệ điều hành', 'macOS Sequoia'), ('Thời điểm ra mắt', '03/2025'), ('Kích thước', 'Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg'), ('Chất liệu', 'Vỏ nhôm tái chế 100%')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-1-638768995923666353-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-2-638768995929708744-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-3-638768995935507083-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-4-638768995940960773-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335369/macbook-air-13-inch-m4-5-638768995946399856-750x500.jpg,
Laptop MacBook Air 15 inch M4 24GB/256GB,35.790.000₫,"Cấu hình: [('Công nghệ CPU', 'Apple M4 - Hãng không công bố'), ('Số nhân', '10'), ('Số luồng', 'Hãng không công bố'), ('Tốc độ CPU', '120 GB/s memory bandwidth')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - 10 nhân GPU')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '24 GB'), ('Loại RAM', 'Hãng không công bố'), ('Tốc độ Bus RAM', 'Hãng không công bố'), ('Hỗ trợ RAM tối đa', 'Không hỗ trợ nâng cấp'), ('Ổ cứng', '256 GB SSD')]; Màn hình: [('Kích thước màn hình', '15.3""'), ('Độ phân giải', 'Liquid Retina'), ('Tấm nền', 'IPS'), ('Tần số quét', 'Hãng không công bố'), ('Công nghệ màn hình', 'Wide color (P3) | 500 nits brightness | True Tone Technology | 1 tỷ màu')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', 'Jack tai nghe 3.5 mm | MagSafe 3 | 2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)'), ('Kết nối không dây', 'Wi-Fi 6E (802.11ax) | Bluetooth 5.3'), ('Webcam', '1080p FaceTime HD camera'), ('Đèn bàn phím', 'Đơn sắc - Màu trắng'), ('Bảo mật', 'Bảo mật vân tay'), ('Công nghệ âm thanh', 'Hệ thống âm thanh 6 loa | 3 microphones | Dolby Atmos'), ('Tản nhiệt', 'Hãng không công bố')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', 'Li-Po, 66.5 Wh'), ('Hệ điều hành', 'macOS Sequoia'), ('Thời điểm ra mắt', '03/2025'), ('Kích thước', 'Dài 340.4 mm - Rộng 237.6 mm - Dày 11.5 mm - 1.51 kg'), ('Chất liệu', 'Vỏ nhôm tái chế 100%')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335375/macbook-air-15-inch-m4-tgdd-1-638772006704242102-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335375/macbook-air-15-inch-m4-tgdd-2-638772006710076226-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335375/macbook-air-15-inch-m4-tgdd-3-638772006717282798-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335375/macbook-air-15-inch-m4-tgdd-4-638772006723106988-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335375/macbook-air-15-inch-m4-tgdd-5-638772006731120012-750x500.jpg,
Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB,53.390.000₫,"Cấu hình: [('Công nghệ CPU', 'Apple M4 Pro - Hãng không công bố'), ('Số nhân', '12'), ('Số luồng', 'Hãng không công bố'), ('Tốc độ CPU', '273 GB/s memory bandwidth')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - 16 nhân GPU')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '24 GB'), ('Loại RAM', 'Hãng không công bố'), ('Tốc độ Bus RAM', 'Hãng không công bố'), ('Hỗ trợ RAM tối đa', 'Hãng không công bố'), ('Ổ cứng', '1 TB SSD')]; Màn hình: [('Kích thước màn hình', '14.2""'), ('Độ phân giải', 'Liquid Retina XDR display (3024 x 1964)'), ('Tần số quét', 'up to 120 Hz'), ('Công nghệ màn hình', 'ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | True Tone Technology | 1 tỷ màu')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', 'Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))'), ('Kết nối không dây', 'Wi-Fi 6E (802.11ax) | Bluetooth 5.3'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', '1080p FaceTime HD camera'), ('Đèn bàn phím', 'Đơn sắc - Màu trắng'), ('Bảo mật', 'Bảo mật vân tay'), ('Công nghệ âm thanh', 'Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos'), ('Tản nhiệt', 'Hãng không công bố')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', 'Li-Po, 72.4 Wh'), ('Hệ điều hành', 'macOS Sequoia'), ('Thời điểm ra mắt', '10/2024'), ('Kích thước', 'Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.6 kg'), ('Chất liệu', 'Vỏ nhôm tái chế 100%')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331569/macbook-pro-14-inch-m4-pro-tgdd-bac-1-638660162678116567-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331569/macbook-pro-14-inch-m4-pro-tgdd-bac-2-638660162683853928-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331569/macbook-pro-14-inch-m4-pro-tgdd-bac-3-638660162690878425-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331569/macbook-pro-14-inch-m4-pro-tgdd-bac-4-638660162696427113-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331569/macbook-pro-14-inch-m4-pro-tgdd-bac-5-638660162701954002-750x500.jpg,
Laptop MacBook Pro 14 inch Nano M4 16GB/512GB,41.690.000₫,"Cấu hình: [('Công nghệ CPU', 'Apple M4 - Hãng không công bố'), ('Số nhân', '10'), ('Số luồng', 'Hãng không công bố'), ('Tốc độ CPU', '120 GB/s memory bandwidth')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - 10 nhân GPU')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '16 GB'), ('Loại RAM', 'Hãng không công bố'), ('Tốc độ Bus RAM', 'Hãng không công bố'), ('Hỗ trợ RAM tối đa', 'Hãng không công bố'), ('Ổ cứng', '512 GB SSD')]; Màn hình: [('Kích thước màn hình', '14.2""'), ('Độ phân giải', 'Liquid Retina XDR display (3024 x 1964)'), ('Tần số quét', 'up to 120 Hz'), ('Công nghệ màn hình', 'ProMotion | Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR) | Độ sáng SDR: lên đến 1000 nits | Wide color (P3) | Màn hình Nano-texture | True Tone Technology | 1 tỷ màu')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', 'Jack tai nghe 3.5 mm | MagSafe 3 | HDMI | 3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))'), ('Kết nối không dây', 'Wi-Fi 6E (802.11ax) | Bluetooth 5.3'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', '1080p FaceTime HD camera'), ('Đèn bàn phím', 'Đơn sắc - Màu trắng'), ('Bảo mật', 'Bảo mật vân tay'), ('Công nghệ âm thanh', 'Hệ thống âm thanh 6 loa | Spatial Audio | 3 microphones | Dolby Atmos'), ('Tản nhiệt', 'Hãng không công bố')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', 'Li-Po, 72.4 Wh'), ('Hệ điều hành', 'macOS Sequoia'), ('Thời điểm ra mắt', '10/2024'), ('Kích thước', 'Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg'), ('Chất liệu', 'Vỏ nhôm tái chế 100%')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-1-638682285745176008-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-2-638682285755776945-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-3-638682285761712519-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-4-638682285767856306-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332448/macbook-pro-14-nano-m4-16-512-den-tgdd-5-638682285776811668-750x500.jpg,
"Laptop Dell Inspiron 15 3520 - 71064798 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, KYHD, Win11)",16.690.000₫,"Cấu hình: [('Công nghệ CPU', 'Intel Core i5 Alder Lake - 1235U'), ('Số nhân', '10'), ('Số luồng', '12'), ('Tốc độ CPU', '1.30 GHz (Lên đến 4.40 GHz khi tải nặng)')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - Intel Iris Xe Graphics')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '16 GB'), ('Loại RAM', 'DDR4 (1 khe 8 GB + 1 khe 8 GB)'), ('Tốc độ Bus RAM', '2600 MHz'), ('Hỗ trợ RAM tối đa', '16 GB'), ('Ổ cứng', '512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)')]; Màn hình: [('Kích thước màn hình', '15.6""'), ('Độ phân giải', 'Full HD (1920 x 1080)'), ('Tần số quét', '120Hz'), ('Độ phủ màu', '45% NTSC'), ('Công nghệ màn hình', 'Chống chói Anti Glare | LED Backlit | 250 nits | WVA')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', '1 x USB 2.0 | 2 x USB 3.2 | HDMI | 1 x Headphone/microphone combo'), ('Kết nối không dây', 'Bluetooth 5.2 | Wi-Fi 802.11 a/b/g/n/ac'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', 'HD webcam'), ('Đèn bàn phím', 'Có'), ('Công nghệ âm thanh', 'Realtek Audio')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', '3-cell Li-ion, 41 Wh'), ('Hệ điều hành', 'Windows 11 Home SL + Office Home 2024 vĩnh viễn'), ('Thời điểm ra mắt', '2025'), ('Kích thước', 'Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg'), ('Chất liệu', 'Vỏ nhựa')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-1-638900911974170936-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-2-638900911968938563-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-3-638900911961734468-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-4-638900911955738984-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-new-5-638900911948464249-750x500.jpg,
"Laptop Dell Inspiron 15 3520 - 25P231 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeHS, KYHD, Win11)",16.690.000₫,"Cấu hình: [('Công nghệ CPU', 'Intel Core i5 Alder Lake - 1235U'), ('Số nhân', '10'), ('Số luồng', '12'), ('Tốc độ CPU', '1.30 GHz (Lên đến 4.40 GHz khi tải nặng)')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - Intel Iris Xe Graphics')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '16 GB'), ('Loại RAM', 'DDR4 (1 khe 8 GB + 1 khe 8 GB)'), ('Tốc độ Bus RAM', '2666 MHz'), ('Hỗ trợ RAM tối đa', '16 GB'), ('Ổ cứng', '512 GB SSD NVMe PCIe | Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)')]; Màn hình: [('Kích thước màn hình', '15.6""'), ('Độ phân giải', 'Full HD (1920 x 1080)'), ('Tần số quét', '120Hz'), ('Công nghệ màn hình', 'Chống chói Anti Glare | 250 nits | WVA')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', '1 x USB 2.0 | Jack tai nghe 3.5 mm | 2 x USB 3.2 | HDMI'), ('Kết nối không dây', 'Bluetooth 5.2 | Wi-Fi 802.11 a/b/g/n/ac'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', 'HD webcam'), ('Đèn bàn phím', 'Không có đèn'), ('Công nghệ âm thanh', 'Realtek Audio')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', '3-cell, 41Wh'), ('Hệ điều hành', 'Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn'), ('Thời điểm ra mắt', '2022'), ('Kích thước', 'Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg'), ('Chất liệu', 'Vỏ nhựa')]",https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-1-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-2-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-3-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-4-2-750x500.jpg; https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-5-2-750x500.jpg,
"Laptop Dell Inspiron 15 3530 - N5I5530W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",19.590.000₫,"Cấu hình: [('Công nghệ CPU', 'Intel Core i5 Raptor Lake - 1334U'), ('Số nhân', '10'), ('Số luồng', '12'), ('Tốc độ CPU', '1.30 GHz (Lên đến 4.60 GHz khi tải nặng)')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - Intel Iris Xe Graphics')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '16 GB'), ('Loại RAM', 'DDR4 (1 khe 8 GB + 1 khe 8 GB)'), ('Tốc độ Bus RAM', '2666 MHz'), ('Hỗ trợ RAM tối đa', '16 GB'), ('Ổ cứng', '512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) | Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)')]; Màn hình: [('Kích thước màn hình', '15.6""'), ('Độ phân giải', 'Full HD (1920 x 1080)'), ('Tần số quét', '120Hz'), ('Độ phủ màu', '45% NTSC'), ('Công nghệ màn hình', 'Chống chói Anti Glare | LED Backlit | WVA')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', '1 x USB 2.0 | Jack tai nghe 3.5 mm | 1 x USB 3.2 | HDMI | USB Type-C'), ('Kết nối không dây', 'Wi-Fi 6 (802.11ax) | Bluetooth 5.3'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', 'HD webcam'), ('Đèn bàn phím', 'Không có đèn'), ('Công nghệ âm thanh', 'Realtek Audio')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', '3-cell, 41Wh'), ('Hệ điều hành', 'Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic'), ('Thời điểm ra mắt', '2024'), ('Kích thước', 'Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg'), ('Chất liệu', 'Vỏ nhựa')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-1-638762533274067953-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-2-638762533281473713-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-3-638762533287574356-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-4-638762533293274045-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-5-638762533302939314-750x500.jpg,
"Laptop Dell Inspiron 15 3530 - N5I7216W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",20.990.000₫ *,"Cấu hình: [('Công nghệ CPU', 'Intel Core i7 Raptor Lake - 1355U'), ('Số nhân', '10'), ('Số luồng', '12'), ('Tốc độ CPU', '1.70 GHz (Lên đến 5.00 GHz khi tải nặng)')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - Intel Iris Xe Graphics')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '16 GB'), ('Loại RAM', 'DDR4 (1 khe 8 GB + 1 khe 8 GB)'), ('Tốc độ Bus RAM', '3200 MHz'), ('Hỗ trợ RAM tối đa', '16 GB'), ('Ổ cứng', '512 GB SSD NVMe PCIe')]; Màn hình: [('Kích thước màn hình', '15.6""'), ('Độ phân giải', 'Full HD (1920 x 1080)'), ('Tần số quét', '120Hz'), ('Độ phủ màu', '45% NTSC'), ('Công nghệ màn hình', 'Chống chói Anti Glare | LED Backlit | 250 nits | WVA')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', '1 x USB 2.0 | Jack tai nghe 3.5 mm | 1 x USB 3.2 | HDMI | USB Type-C'), ('Kết nối không dây', 'Wi-Fi 6 (802.11ax) | Bluetooth 5.3'), ('Khe đọc thẻ nhớ', 'SD'), ('Webcam', 'HD webcam'), ('Đèn bàn phím', 'Đơn sắc - Màu trắng'), ('Công nghệ âm thanh', 'Realtek Audio'), ('Tản nhiệt', 'Hãng không công bố')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', '4-cell, 54Wh'), ('Hệ điều hành', 'Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic'), ('Thời điểm ra mắt', '2025'), ('Kích thước', 'Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg'), ('Chất liệu', 'Vỏ nhựa')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-1-638840241503567040-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-2-638840241497065349-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-3-638840241491993434-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-4-638840241485459819-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/dell-inspiron-15-3530-i7-n5i7216w1-5-638840241557390782-750x500.jpg,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338311/Kit/dell-inspiron-15-3530-i7-n5i7216w1-note-638840241876580902.jpg
"Laptop Dell Latitude 3450 - L3450-1335U-16512WN (i5 1335U, 16GB, 512GB, Full HD, Win11)",18.590.000₫ *,"Cấu hình: [('Công nghệ CPU', 'Intel Core i5 Raptor Lake - 1335U'), ('Số nhân', '10'), ('Số luồng', '12'), ('Tốc độ CPU', '1.30 GHz (Lên đến 4.60 GHz khi tải nặng)')]; Đồ hoạ (GPU): [('Card màn hình', 'Card tích hợp - Intel Iris Xe Graphics')]; Bộ nhớ RAM, Ổ cứng: [('RAM', '16 GB'), ('Loại RAM', 'DDR5 (1 khe 8 GB + 1 khe 8 GB)'), ('Tốc độ Bus RAM', '5200 MHz'), ('Hỗ trợ RAM tối đa', '64 GB'), ('Ổ cứng', '512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)')]; Màn hình: [('Kích thước màn hình', '14""'), ('Độ phân giải', 'Full HD (1920 x 1080)'), ('Tấm nền', 'IPS'), ('Tần số quét', '60Hz'), ('Độ phủ màu', '45% NTSC'), ('Công nghệ màn hình', 'Chống chói Anti Glare | 250 nits')]; Cổng kết nối & tính năng mở rộng: [('Cổng giao tiếp', 'Jack tai nghe 3.5 mm | 2 x USB 3.2 | HDMI | 1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery) | 1 x USB 3.2 (hỗ trợ PowerShare) | LAN (RJ45)'), ('Kết nối không dây', 'Wi-Fi 6E (802.11ax) | Bluetooth 5.3'), ('Webcam', 'Full HD Webcam'), ('Đèn bàn phím', 'Không có đèn'), ('Bảo mật', 'Công tắc khoá camera'), ('Công nghệ âm thanh', 'Realtek Audio'), ('Tản nhiệt', 'Hãng không công bố'), ('Tính năng khác', 'Bản lề mở 180 độ')]; Kích thước - Khối lượng - Pin: [('Thông tin Pin', '3-cell, 42Wh'), ('Hệ điều hành', 'Windows 11 Home SL'), ('Thời điểm ra mắt', '2024'), ('Kích thước', 'Dài 322.17 mm - Rộng 219.43 mm - Dày 19.34 mm - 1.5 kg'), ('Chất liệu', 'Vỏ nhựa')]",https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-1-638863820558749054-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-2-638863820552684941-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-3-638863820545732706-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-4-638863820538677819-750x500.jpg; https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-5-638863820529134868-750x500.jpg,
